,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
331269,2020-11-08,pablalunar,"la vacuna rusa no tiene arvejas, papa, zanahoria y mayonesa entre sus componentes? todo bien pero eso de rusa no tiene nada yo no me la doy",3,612,6178,https://twitter.com/PablaLunar/status/1325280664988553216,2264.3333333333335
322373,2020-11-12,mariaaagm,"Me tomaba un tequila por $1 en GOA, mira si no me voy a dar la vacuna rusa...",75,764,5609,https://twitter.com/mariaaagm/status/1326893054020694016,2149.3333333333335
329215,2020-11-09,luispetri,"Vacuna rusa CFK, Reforma Judicial CFK, destitución de jueces CFK, alineación con Venezuela CFK, expropiación a Vicentin CFK, recorte de fondos a CABA de nuevo CFK, alguna duda quien gobierna?",701,959,2664,https://twitter.com/luispetri/status/1325832211619344387,1441.3333333333333
327585,2020-11-09,mmmifla,yo yendo a ponerme la vacuna rusa o cualquiera que salga,1,393,3027,https://twitter.com/mmmifla/status/1325984769612636164,1140.3333333333333
325901,2020-11-11,lrubinska,🇷🇺#AHORA @sputnikvaccine ||  🔴Confirman que la vacuna rusa contra el Covid-19 #SputnikV tiene una eficacia del 92% y que no hubo efectos adversos durante las pruebas.,54,466,2831,https://twitter.com/LRubinska/status/1326452489827266561,1117.0
330670,2020-11-08,orwellgeorge,"“El jefe del laboratorio qie va a traer la vacuna rusa, estuvo 12 años preso y creó el sindicato de presos. Se cambió el nombre” @guadavazquez Tranqui.",34,847,2144,https://twitter.com/OrwellGeorge/status/1325575882291994625,1008.3333333333334
329918,2020-11-09,madorni,"El gobierno pretende conseguir voluntarios para la vacuna rusa, incluso a cambio de una compensación económica. Me ofrezco como voluntario, pero sin retribución económica. Si pretendo que me permitan despedir a un funcionario (sin cargo electivo, desde ya) a mi libre elección.",55,184,2753,https://twitter.com/madorni/status/1325781798983446531,997.3333333333334
321747,2020-11-12,elisacarrio,"No me voy a poner ninguna vacuna rusa, no pasa los controles de seguridad. @lanacionmas #LaTramaDelPoder",439,346,1851,https://twitter.com/elisacarrio/status/1327071861876862978,878.6666666666666
326517,2020-11-10,lucaslauriente,los muchachos y yo después de darnos la vacuna rusa  https://t.co/p5Y6K9PzAS,12,338,2235,https://twitter.com/lucaslauriente/status/1326261256177770497,861.6666666666666
328928,2020-11-09,rukhasgunsalu,"-Señor Rial, entienda que esta vacuna rusa puede provocar esterilidad y ligero retraso mental.  -¡Sí, sí, venga el sobre!  https://t.co/QVosHCp8mt",56,422,1843,https://twitter.com/rukhasgunsalu/status/1325853695603576833,773.6666666666666
79687,2020-11-09,mlauraassis,"🇧🇷 ANVISA interrumpe las pruebas de la vacuna china después de un 'evento adverso grave' en un voluntario brasileño. Cuando el presidente Jair Bolsonaro, hace dos semanas, expresó que no compraría la vacuna del país asiático, fue atacado y criticado.  ¿Quien tenía la razón?",51,302,1940,https://twitter.com/MLauraAssis/status/1325985107094724610,764.3333333333334
329929,2020-11-09,rialjorge,"Me despierto y la manada propone famosos para que se den la vacuna rusa. Con tono agresivo me ponen en la lista. Lejos de ofenderme me parece una buena idea. Ojalá sirva para, después, poder ayudar a los ignorantes ilustrados de las marchas y la tierra plana. Estoy.",363,104,1818,https://twitter.com/rialjorge/status/1325780435192909824,761.6666666666666
329168,2020-11-09,angeldebritook,"Jorge Rial, Florencia Peña y Diego Brancatelli son los tres primeros famosos en querer ponerse la vacuna rusa  https://t.co/nF0l7q33KR",725,85,1155,https://twitter.com/AngeldebritoOk/status/1325835031181455361,655.0
324436,2020-11-11,stevenarce,"Vacuna rusa está registrada en OMS.  Produjo anticuerpos a la mayoría de  voluntarios (a algunos se les aplicó placebo)  Empezó con 70 voluntarios, ahora son 40 mil.  Cumplirá según registro OMS con las mismas 3 fases que otras vacunas.  efectividad 92%  Información, no opinión.",46,174,1597,https://twitter.com/stevenarce/status/1326540940803104768,605.6666666666666
325841,2020-11-11,efenoticias,"Spuntik V, la primera vacuna rusa registrada contra la covid-19, ha probado ser eficaz en el 92 % de los casos, según los primeros resultados publicados hoy por el Centro Gamaleya y el Fondo de Inversiones Directas de Rusia (FIDR).  #coronavirus   https://t.co/bE17PoBSKr  https://t.co/4fLY9qKGIc",124,536,1044,https://twitter.com/EFEnoticias/status/1326462283371978754,568.0
321778,2020-11-12,vanepetrillo,"Atenti denunciantes compulsivos. Fiscal Di Lello pidió desestimar la insólita denuncia contra la compra de la vacuna rusa.""Carece de los requisitos mínimos"" q debe tener una denuncia. La hizo un abogado, sobre ""supuestos"", sin pruebas de nada.Todo muy ""confuso"", dice la justicia",50,380,1272,https://twitter.com/Vanepetrillo/status/1327064618133544961,567.3333333333334
